Category,Word
Food,Pizza
Food,Burger
Food,Sandwich
Food,Spaghetti
Food,Chocolate
Food,Pancake
Food,Sushi
Food,Taco
Food,Noodles
Food,Curry
Food,Donut
Food,Icecream
Food,Salad
Animals,Elephant
Animals,Tiger
Animals,Kangaroo
Animals,Dolphin
Animals,Crocodile
Animals,Penguin
Animals,Giraffe
Animals,Wolf
Animals,Owl
Animals,Zebra
Animals,Monkey
Animals,Hippo
Animals,Snake
Countries,Nepal
Countries,Brazil
Countries,Canada
Countries,Germany
Countries,Australia
Countries,Japan
Countries,Egypt
Countries,France
Countries,India
Countries,Italy
Countries,Mexico
Countries,Russia
Countries,Norway
Fictional Characters,Harry Potter
Fictional Characters,Frodo
Fictional Characters,Sherlock
Fictional Characters,Simba
Fictional Characters,Elsa
Fictional Characters,Spiderman
Fictional Characters,Batman
Fictional Characters,Wonder Woman
Fictional Characters,Thor
Fictional Characters,Loki
Fictional Characters,Ironman
Fictional Characters,Aladdin
Fictional Characters,Pikachu
Movies,Inception
Movies,Titanic
Movies,Avatar
Movies,Frozen
Movies,Joker
Movies,Matrix
Movies,Interstellar
Movies,Coco
Movies,Gladiator
Movies,Godfather
Movies,Jurassic
Movies,Casablanca
Movies,Thor
